reset,resolution,x,y,z
906,2,53035,28413,57599
e06,5,52523,28413,49663
706,2,33835,28414,1023
106,2,45355,28414,19711
606,7,43563,28414,7167
506,8,33067,28414,1535
a06,3,38443,28413,59647
a06,14,31787,28413,60670
b06,15,31787,28413,59134
a06,1,22827,28413,47359
706,6,33067,28413,40703
705,9,20523,28412,37376
d06,5,38187,28412,41217
b06,6,43,28413,30209
d06,4,29739,28414,17409
a06,10,49451,28414,46848
b06,9,59179,28414,37375
e06,15,55595,28670,3582
206,11,32043,28670,1790
b06,7,22315,28669,15871
c06,15,35115,28668,58623
405,7,11819,28668,9216
a05,4,58923,28668,60161
b06,13,61227,28669,7425
e07,12,35627,28669,44289
c07,12,7211,28669,59648
907,1,36907,28670,29952
c08,1,55339,28670,54527
007,2,16683,28670,54271
f07,1,36907,28670,15872
f06,15,1835,28670,23551
406,5,31531,28670,17152
605,8,19499,28670,33536
305,2,58155,28670,31233
a06,8,52267,28670,53760
a06,10,4139,28670,46592
006,11,3883,28671,21247
307,3,33067,28670,50431
906,9,555,28926,23295
906,2,47147,28926,32000
b06,0,41259,28926,17152
106,6,17195,28926,7680
f06,3,5675,28926,17408
006,7,14123,28926,26112
e06,2,32555,28926,15616
e06,9,41003,28926,24575
205,6,24363,28926,41471
605,15,3115,28925,57341
a05,11,25131,28924,5629
005,5,16683,28924,10238
905,4,47915,28924,48127
205,11,27947,28925,18943
605,6,33323,28925,45568
205,2,36139,28925,48896
305,3,28715,28925,40959
d06,12,56107,28925,5117
805,8,18987,28923,58109
405,6,49963,28923,19965
c05,11,41259,29178,16894
406,13,32811,29178,39936
a06,13,39723,29179,4354
206,10,20779,29180,40452
b05,15,13867,29182,57092
c05,1,58411,29183,44036
906,7,34091,28928,24578
906,10,12331,28928,18175
c06,12,41515,29182,51453
306,15,47147,29183,51197
a05,3,20523,29182,61438
505,6,35627,29181,53246
f05,7,30507,29182,18942
407,8,58667,29182,7678
707,2,1579,29182,16639
806,2,6443,29182,8447
e07,15,53547,29182,7678
206,14,43,29182,5118
406,2,56363,29181,55039
d05,15,14379,29181,2814
2fc,7,prev,prev,7979
2fc,7,60158,55045,63275
2fb,7,38910,30469,62507
2fc,7,59391,36614,17963
2fc,7,16895,54278,45867
2fc,7,15616,54022,47403
2fd,7,52225,58374,37675
2fe,7,45314,47622,19755
2fe,7,514,9478,63787
2ff,7,38400,43271,6443
2fe,7,3839,59654,61227
2fd,7,34814,26630,34091
2fc,7,16381,36613,14635
2fc,7,39934,38916,45867
2fb,7,9470,37637,7979
2fa,7,34558,21253,45099
2fb,7,64766,3590,42027
2fb,7,5885,63494,50731
2fb,7,34046,11270,43051
2fb,7,41470,45063,24619
3fc,7,51967,5382,42283
3fc,7,1791,13573,58667
3fb,7,6398,63238,37931
3fb,7,57086,51207,46635
3fb,7,17406,48646,10795
3fb,7,47871,13318,25899
3fb,7,65535,16390,22827
3fb,7,33022,55557,21547
3fb,7,4862,16645,49707
3fb,7,13822,15366,22059
3fc,7,47614,53766,22059
3fd,7,42239,15622,21291
3fc,7,18430,52230,28971
3fc,7,58110,52741,63019
3fc,7,58367,1285,59947
3fc,7,34303,40966,5931
3fd,7,42495,45062,38187
3fd,7,29951,14342,35627
3fc,7,52735,7686,41003
3fd,7,61694,11014,16427
3fd,7,3069,32262,29227
4fc,7,31741,62982,16939
4fc,7,58367,30982,40747
4fc,7,63999,48135,28971
4fd,7,65279,37639,4395
4fc,7,3583,38150,41003
4fd,7,35583,60421,64299
4fc,7,5375,46086,11819
4fc,7,32767,61957,56107
4fc,7,40448,9734,21291
4fc,7,45824,29701,49451
4fd,7,64512,42246,5419
4fd,7,23552,40198,14891
4fd,7,18688,60422,55851
4fd,7,26368,63751,21803
4fd,7,59136,19462,55851
4fd,7,59135,50182,53547
4fe,7,59647,52998,33835
4fe,7,1279,44038,21547
4fd,7,4351,38918,26667
4fd,7,56063,55558,12331
5fd,7,57599,48390,1323
5fd,7,58111,31494,7979
5fd,7,58367,40453,64043
5fd,7,56831,39173,60459
5fd,7,42751,50438,2347
5fd,7,19199,52485,64043
5fd,7,25087,52485,64811
5fd,7,33023,32262,9259
5fd,7,33535,33798,10283
5fd,7,21759,36870,18731
5fd,7,28927,20230,35627
5fe,7,50431,41990,34091
5fe,7,7679,46342,23339
5fe,7,18688,1542,28971
5fe,7,57855,50438,38187
5fe,7,46079,43270,17195
5fe,7,34303,25094,3115
5fd,7,35327,28677,52523
5fd,7,63743,11782,56875
5fd,7,11775,62982,43563
5fc,7,24832,28932,44843
6fb,7,14336,20740,57899
6fb,7,53759,27654,21035
6fa,7,59134,34566,38699
6fa,7,42749,41734,61227
6fb,7,39421,56839,7723
6fb,7,21502,39941,52267
6fb,7,1534,43013,61227
6fb,7,12542,42757,60203
6fb,7,52478,61957,52523
6fc,7,8702,47622,13611
6fc,7,26878,45062,1835
6fc,7,61182,44548,50987
